FixtureID,Date,Timestamp,VenueID,HomeTeamID,AwayTeamID,Status,Round,LeagueID,Season
1325072,2025-07-05T09:30:00+00:00,1751707800,11578.0,4326,10409,NS,Regular Season - 19,100,2025
1325073,2025-07-05T09:00:00+00:00,1751706000,11585.0,7145,2235,NS,Regular Season - 19,100,2025
1325074,2025-07-05T09:00:00+00:00,1751706000,969.0,304,756,NS,Regular Season - 19,100,2025
1325075,2025-07-06T09:00:00+00:00,1751792400,3305.0,4323,7138,NS,Regular Season - 19,100,2025
1325076,2025-07-05T09:00:00+00:00,1751706000,987.0,300,4318,NS,Regular Season - 19,100,2025
1325077,2025-07-05T09:00:00+00:00,1751706000,3298.0,4314,7129,NS,Regular Season - 19,100,2025
1325078,2025-07-06T10:00:00+00:00,1751796000,958.0,297,4324,NS,Regular Season - 19,100,2025
1325079,2025-07-05T09:00:00+00:00,1751706000,5191.0,7135,805,NS,Regular Season - 19,100,2025
1325080,2025-07-05T10:00:00+00:00,1751709600,11577.0,4319,317,NS,Regular Season - 19,100,2025
1325081,2025-07-05T10:00:00+00:00,1751709600,11575.0,2236,315,NS,Regular Season - 19,100,2025
1325082,2025-07-12T09:30:00+00:00,1752312600,11578.0,4326,297,NS,Regular Season - 20,100,2025
1325083,2025-07-12T10:00:00+00:00,1752314400,2774.0,756,4323,NS,Regular Season - 20,100,2025
1325084,2025-07-12T09:00:00+00:00,1752310800,3306.0,4324,4318,NS,Regular Season - 20,100,2025
1325085,2025-07-12T09:00:00+00:00,1752310800,969.0,304,7135,NS,Regular Season - 20,100,2025
1325086,2025-07-12T09:00:00+00:00,1752310800,3298.0,4314,2236,NS,Regular Season - 20,100,2025
1325087,2025-07-12T09:00:00+00:00,1752310800,20561.0,7138,10409,NS,Regular Season - 20,100,2025
1325088,2025-07-12T09:00:00+00:00,1752310800,1935.0,317,315,NS,Regular Season - 20,100,2025
1325089,2025-07-12T09:00:00+00:00,1752310800,5189.0,7129,300,NS,Regular Season - 20,100,2025
1325090,2025-07-12T09:00:00+00:00,1752310800,2775.0,805,7145,NS,Regular Season - 20,100,2025
1325091,2025-07-12T10:00:00+00:00,1752314400,959.0,2235,4319,NS,Regular Season - 20,100,2025
1325092,2025-07-20T09:00:00+00:00,1753002000,3301.0,4318,2235,NS,Regular Season - 21,100,2025
1325093,2025-07-20T10:00:00+00:00,1753005600,20714.0,315,4324,NS,Regular Season - 21,100,2025
1325094,2025-07-19T09:00:00+00:00,1752915600,11585.0,7145,756,NS,Regular Season - 21,100,2025
1325095,2025-07-19T09:00:00+00:00,1752915600,3305.0,4323,304,NS,Regular Season - 21,100,2025
1325096,2025-07-19T10:00:00+00:00,1752919200,987.0,300,4326,NS,Regular Season - 21,100,2025
1325097,2025-07-21T10:00:00+00:00,1753092000,958.0,297,7135,NS,Regular Season - 21,100,2025
